Name,number,Unit price,Price,Link
,,,,
poards ( Processing & controlling ),,,,
Arduino Board â€“ Arduino UNO,1,385,385,https://ram-e-shop.com/product/kit-arduino-uno/
,,,,
Sensors,,,,
HC-SR04 Ultrasonic Sensor Module,1,45,45,https://www.ampere-electronics.com/p/hc-sr04-ultrasonic-sensor-module-3/
,,,,
Actuators,,,,
25GA370 DC Gear Motor 12V 280RPM,1,220,220,https://www.ampere-electronics.com/p/25ga370-dc-gear-motor-12v-280rpm/
,,,,
Drivers,,,,
L298N Motor Driver Module,1,65,65,https://www.ampere-electronics.com/p/l298n-motor-driver-module-3/
,,,,
Mechanical parts,,,,
8x1000mm Linear Rail Shaft Stainless Steel,1,100,100,https://www.ampere-electronics.com/p/8x1000mm-linear-rail-shaft-stainless-steel/
"SCS08UU Linear Ball Bearings Block, 8mm Inner Diameter",1,50,50,https://www.ampere-electronics.com/p/scs08uu-linear-ball-bearings-block/
GT2 Open Belt 6mm,2,40,80,https://www.ampere-electronics.com/p/gt2-open-belt-6mm-wide-white-1-meter-long-2/
GT2 - 20Teeth 5mm Bore Idler Pulley for 6mm Width Timing Bel,3,40,120,https://www.ampere-electronics.com/p/gt2-20teeth-5mm-bore-idler-pulley-for-6mm-width-timing-belt/
GT2 Double Head Timing Pulley - 20Teeth 8mm Bore,1,45,45,https://www.ampere-electronics.com/p/gt2-double-head-timing-pulley-8mm/
,,,,
Power & connectors & others,,,,
AC Power Adapter 12Vdc / 2A,1,45,45,https://www.ampere-electronics.com/p/ac-power-adapter-12vdc-2a/
Printer Cable USB 2.0-1.8M,1,45,45,https://www.amazon.eg/-/en/2B-DC107-Printer-Cable-2-0-1-8M/dp/B096L9GGMN/ref=sr_1_8?keywords=arduino+usb+cable&qid=1671345479&sr=8-8
,,,,
materials,,,,
Wooden manufacturing,,,400,
,,,,
,,,,
total shopping cost,,,1600,
shipping cost (charge),,,100,
total,,,1700,